Vegetable Pulao, Paneer Tikka, Butter Naan
Veg Manchurian, Dal Tadka, Aloo Gobi Masala
Palak Paneer, Veg Biryani, Butter Naan
Chicken Biryani, Tandoori Chicken
Butter Chicken, Garlic Naan
Chicken Tikka Masala, Veg Pizza
Fish Fry, Prawn Masala
Mutton Biryani, Lamb Rogan Josh
Goan Fish Curry, Butter Naan
Paneer Butter Masala, Veg Pizza
Idli (2 Pieces), Masala Dosa, Ghee Pongal
Plain Dosa, Onion Uttapam, Rava Upma
Medhu Vada (2 Pieces), Pongal, Curd Rice
Rava Dosa, Poori (2 Pieces), Veg Fried Rice
Mini Tiffin, Paneer Dosa, Set Dosa
Ragi Dosa, Podi Idli (2 Pieces), Bisibelabath
Ghee Roast Dosa, Veg Pulao
Idli (2 Pieces), Masala Dosa, Ghee Pongal
Plain Dosa, Onion Uttapam, Rava Upma
Medhu Vada (2 Pieces), Pongal, Curd Rice
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut, New York Cheesecake Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Cookies and Kreme Doughnut, Red Velvet Cake Doughnut, Maple Iced Glazed Doughnut
Cinnamon Apple Doughnut, Strawberry Shortcake Doughnut, Blueberry Cake Doughnut
Chocolate Glazed Cruller Doughnut, Original Glazed Cruller Doughnut
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut, New York Cheesecake Doughnut
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut, New York Cheesecake Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Szechwan Fried Rice, Sweet and Sour Fish, Prawn Tempura, Vegetable Chow Mein
Sweet and Sour Fish, Prawn Tempura, Vegetable Chow Mein, Peking Duck (Half)
Prawn Tempura, Vegetable Chow Mein, Peking Duck (Half), Vegetable Spring Onion Pancake
Vegetable Chow Mein, Peking Duck (Half), Vegetable Spring Onion Pancake, Shrimp Pad Thai
Peking Duck (Half), Vegetable Spring Onion Pancake, Shrimp Pad Thai, Vegetable Spring Rolls
Vegetable Spring Onion Pancake, Shrimp Pad Thai, Vegetable Spring Rolls, Chicken Satay
Shrimp Pad Thai, Vegetable Spring Rolls, Chicken Satay, Pad Thai Noodles
Vanilla Ice Cream Scoop, Chocolate Ice Cream Scoop, Strawberry Ice Cream Scoop, Butterscotch Ice Cream Scoop
Mango Ice Cream Scoop, Pistachio Ice Cream Scoop, Caramel Ice Cream Scoop, Cookies and Cream Ice Cream Scoop
Mint Chocolate Chip Ice Cream Scoop, Fruit Salad Ice Cream Scoop, Rainbow Sherbet Ice Cream Scoop, Bubblegum Ice Cream Scoop
Peach Ice Cream Scoop, Coffee Ice Cream Scoop, Choco Fudge Brownie Sundae, Fruit Medley Ice Cream Sundae
Chocolate Lava Ice Cream Sundae, Nutty Caramel Crunch Ice Cream Sundae, Berry Blast Ice Cream Sundae, Ibaco Special Ice Cream Sundae
Vanilla Ice Cream Scoop, Chocolate Ice Cream Scoop, Strawberry Ice Cream Scoop, Butterscotch Ice Cream Scoop
Mango Ice Cream Scoop, Pistachio Ice Cream Scoop, Caramel Ice Cream Scoop, Cookies and Cream Ice Cream Scoop
Mint Chocolate Chip Ice Cream Scoop, Fruit Salad Ice Cream Scoop, Rainbow Sherbet Ice Cream Scoop, Bubblegum Ice Cream Scoop
Peach Ice Cream Scoop, Coffee Ice Cream Scoop, Choco Fudge Brownie Sundae, Fruit Medley Ice Cream Sundae
Chocolate Lava Ice Cream Sundae, Nutty Caramel Crunch Ice Cream Sundae, Berry Blast Ice Cream Sundae, Ibaco Special Ice Cream Sundae
Vanilla Ice Cream Scoop, Chocolate Ice Cream Scoop, Strawberry Ice Cream Scoop, Butterscotch Ice Cream Scoop
Mango Ice Cream Scoop, Pistachio Ice Cream Scoop, Caramel Ice Cream Scoop, Cookies and Cream Ice Cream Scoop
Mint Chocolate Chip Ice Cream Scoop, Fruit Salad Ice Cream Scoop, Rainbow Sherbet Ice Cream Scoop, Bubblegum Ice Cream Scoop
Peach Ice Cream Scoop, Coffee Ice Cream Scoop, Choco Fudge Brownie Sundae, Fruit Medley Ice Cream Sundae
Chocolate Lava Ice Cream Sundae, Nutty Caramel Crunch Ice Cream Sundae, Berry Blast Ice Cream Sundae, Ibaco Special Ice Cream Sundae
Vanilla Ice Cream Scoop, Chocolate Ice Cream Scoop, Strawberry Ice Cream Scoop, Butterscotch Ice Cream Scoop
Mango Ice Cream Scoop, Pistachio Ice Cream Scoop, Caramel Ice Cream Scoop, Cookies and Cream Ice Cream Scoop
Mint Chocolate Chip Ice Cream Scoop, Fruit Salad Ice Cream Scoop, Rainbow Sherbet Ice Cream Scoop, Bubblegum Ice Cream Scoop
Peach Ice Cream Scoop, Coffee Ice Cream Scoop, Choco Fudge Brownie Sundae, Fruit Medley Ice Cream Sundae
Chocolate Lava Ice Cream Sundae, Nutty Caramel Crunch Ice Cream Sundae, Berry Blast Ice Cream Sundae, Ibaco Special Ice Cream Sundae
Vanilla Ice Cream Scoop, Chocolate Ice Cream Scoop, Strawberry Ice Cream Scoop, Butterscotch Ice Cream Scoop
Mango Ice Cream Scoop, Pistachio Ice Cream Scoop, Caramel Ice Cream Scoop, Cookies and Cream Ice Cream Scoop
Mint Chocolate Chip Ice Cream Scoop, Fruit Salad Ice Cream Scoop, Rainbow Sherbet Ice Cream Scoop, Bubblegum Ice Cream Scoop
Peach Ice Cream Scoop, Coffee Ice Cream Scoop, Choco Fudge Brownie Sundae, Fruit Medley Ice Cream Sundae
Chocolate Lava Ice Cream Sundae, Nutty Caramel Crunch Ice Cream Sundae, Berry Blast Ice Cream Sundae, Ibaco Special Ice Cream Sundae
Vanilla Ice Cream Scoop, Chocolate Ice Cream Scoop, Strawberry Ice Cream Scoop, Butterscotch Ice Cream Scoop
Mango Ice Cream Scoop, Pistachio Ice Cream Scoop, Caramel Ice Cream Scoop, Cookies and Cream Ice Cream Scoop
Mint Chocolate Chip Ice Cream Scoop, Fruit Salad Ice Cream Scoop, Rainbow Sherbet Ice Cream Scoop, Bubblegum Ice Cream Scoop
Peach Ice Cream Scoop, Coffee Ice Cream Scoop, Choco Fudge Brownie Sundae, Fruit Medley Ice Cream Sundae
Chocolate Lava Ice Cream Sundae, Nutty Caramel Crunch Ice Cream Sundae, Berry Blast Ice Cream Sundae, Ibaco Special Ice Cream Sundae
Vanilla Ice Cream Scoop, Chocolate Ice Cream Scoop, Strawberry Ice Cream Scoop, Butterscotch Ice Cream Scoop
Mango Ice Cream Scoop, Pistachio Ice Cream Scoop, Caramel Ice Cream Scoop, Cookies and Cream Ice Cream Scoop
Mint Chocolate Chip Ice Cream Scoop, Fruit Salad Ice Cream Scoop, Rainbow Sherbet Ice Cream Scoop, Bubblegum Ice Cream Scoop
Peach Ice Cream Scoop, Coffee Ice Cream Scoop, Choco Fudge Brownie Sundae, Fruit Medley Ice Cream Sundae
Chocolate Lava Ice Cream Sundae, Nutty Caramel Crunch Ice Cream Sundae, Berry Blast Ice Cream Sundae, Ibaco Special Ice Cream Sundae
Vanilla Ice Cream Scoop, Chocolate Ice Cream Scoop, Strawberry Ice Cream Scoop, Butterscotch Ice Cream Scoop
Mango Ice Cream Scoop, Pistachio Ice Cream Scoop, Caramel Ice Cream Scoop, Cookies and Cream Ice Cream Scoop
Mint Chocolate Chip Ice Cream Scoop, Fruit Salad Ice Cream Scoop, Rainbow Sherbet Ice Cream Scoop, Bubblegum Ice Cream Scoop
Peach Ice Cream Scoop, Coffee Ice Cream Scoop, Choco Fudge Brownie Sundae, Fruit Medley Ice Cream Sundae
Chocolate Lava Ice Cream Sundae, Nutty Caramel Crunch Ice Cream Sundae, Berry Blast Ice Cream Sundae, Ibaco Special Ice Cream Sundae
Vanilla Ice Cream Scoop, Chocolate Ice Cream Scoop, Strawberry Ice Cream Scoop, Butterscotch Ice Cream Scoop
Mango Ice Cream Scoop, Pistachio Ice Cream Scoop, Caramel Ice Cream Scoop, Cookies and Cream Ice Cream Scoop
Mint Chocolate Chip Ice Cream Scoop, Fruit Salad Ice Cream Scoop, Rainbow Sherbet Ice Cream Scoop, Bubblegum Ice Cream Scoop
Peach Ice Cream Scoop, Coffee Ice Cream Scoop, Choco Fudge Brownie Sundae, Fruit Medley Ice Cream Sundae
Chocolate Lava Ice Cream Sundae, Nutty Caramel Crunch Ice Cream Sundae, Berry Blast Ice Cream Sundae, Ibaco Special Ice Cream Sundae
Vanilla Ice Cream Scoop, Chocolate Ice Cream Scoop, Strawberry Ice Cream Scoop, Butterscotch Ice Cream Scoop
Mango Ice Cream Scoop, Pistachio Ice Cream Scoop, Caramel Ice Cream Scoop, Cookies and Cream Ice Cream Scoop
Mint Chocolate Chip Ice Cream Scoop, Fruit Salad Ice Cream Scoop, Rainbow Sherbet Ice Cream Scoop, Bubblegum Ice Cream Scoop
Peach Ice Cream Scoop, Coffee Ice Cream Scoop, Choco Fudge Brownie Sundae, Fruit Medley Ice Cream Sundae
Chocolate Lava Ice Cream Sundae, Nutty Caramel Crunch Ice Cream Sundae, Berry Blast Ice Cream Sundae, Ibaco Special Ice Cream Sundae
Vanilla Ice Cream Scoop, Chocolate Ice Cream Scoop, Strawberry Ice Cream Scoop, Butterscotch Ice Cream Scoop
Mango Ice Cream Scoop, Pistachio Ice Cream Scoop, Caramel Ice Cream Scoop, Cookies and Cream Ice Cream Scoop
Mint Chocolate Chip Ice Cream Scoop, Fruit Salad Ice Cream Scoop, Rainbow Sherbet Ice Cream Scoop, Bubblegum Ice Cream Scoop
Peach Ice Cream Scoop, Coffee Ice Cream Scoop, Choco Fudge Brownie Sundae, Fruit Medley Ice Cream Sundae
Chocolate Lava Ice Cream Sundae, Nutty Caramel Crunch Ice Cream Sundae, Berry Blast Ice Cream Sundae, Ibaco Special Ice Cream Sundae
Vanilla Ice Cream Scoop, Chocolate Ice Cream Scoop, Strawberry Ice Cream Scoop, Butterscotch Ice Cream Scoop
Mango Ice Cream Scoop, Pistachio Ice Cream Scoop, Caramel Ice Cream Scoop, Cookies and Cream Ice Cream Scoop
Mint Chocolate Chip Ice Cream Scoop, Fruit Salad Ice Cream Scoop, Rainbow Sherbet Ice Cream Scoop, Bubblegum Ice Cream Scoop
Peach Ice Cream Scoop, Coffee Ice Cream Scoop, Choco Fudge Brownie Sundae, Fruit Medley Ice Cream Sundae
Chocolate Lava Ice Cream Sundae, Nutty Caramel Crunch Ice Cream Sundae, Berry Blast Ice Cream Sundae, Ibaco Special Ice Cream Sundae
Vanilla Ice Cream Scoop, Chocolate Ice Cream Scoop, Strawberry Ice Cream Scoop, Butterscotch Ice Cream Scoop
Mango Ice Cream Scoop, Pistachio Ice Cream Scoop, Caramel Ice Cream Scoop, Cookies and Cream Ice Cream Scoop
Mint Chocolate Chip Ice Cream Scoop, Fruit Salad Ice Cream Scoop, Rainbow Sherbet Ice Cream Scoop, Bubblegum Ice Cream Scoop
Peach Ice Cream Scoop, Coffee Ice Cream Scoop, Choco Fudge Brownie Sundae, Fruit Medley Ice Cream Sundae
Chocolate Lava Ice Cream Sundae, Nutty Caramel Crunch Ice Cream Sundae, Berry Blast Ice Cream Sundae, Ibaco Special Ice Cream Sundae
Vanilla Ice Cream Scoop, Chocolate Ice Cream Scoop, Strawberry Ice Cream Scoop, Butterscotch Ice Cream Scoop
Mango Ice Cream Scoop, Pistachio Ice Cream Scoop, Caramel Ice Cream Scoop, Cookies and Cream Ice Cream Scoop
Mint Chocolate Chip Ice Cream Scoop, Fruit Salad Ice Cream Scoop, Rainbow Sherbet Ice Cream Scoop, Bubblegum Ice Cream Scoop
Peach Ice Cream Scoop, Coffee Ice Cream Scoop, Choco Fudge Brownie Sundae, Fruit Medley Ice Cream Sundae
Chocolate Lava Ice Cream Sundae, Nutty Caramel Crunch Ice Cream Sundae, Berry Blast Ice Cream Sundae, Ibaco Special Ice Cream Sundae
Vanilla Ice Cream Scoop, Chocolate Ice Cream Scoop, Strawberry Ice Cream Scoop, Butterscotch Ice Cream Scoop
Mango Ice Cream Scoop, Pistachio Ice Cream Scoop, Caramel Ice Cream Scoop, Cookies and Cream Ice Cream Scoop
Mint Chocolate Chip Ice Cream Scoop, Fruit Salad Ice Cream Scoop, Rainbow Sherbet Ice Cream Scoop, Bubblegum Ice Cream Scoop
Peach Ice Cream Scoop, Coffee Ice Cream Scoop, Choco Fudge Brownie Sundae, Fruit Medley Ice Cream Sundae
Chocolate Lava Ice Cream Sundae, Nutty Caramel Crunch Ice Cream Sundae, Berry Blast Ice Cream Sundae, Ibaco Special Ice Cream Sundae
Vanilla Ice Cream Scoop, Chocolate Ice Cream Scoop, Strawberry Ice Cream Scoop, Butterscotch Ice Cream Scoop
Mango Ice Cream Scoop, Pistachio Ice Cream Scoop, Caramel Ice Cream Scoop, Cookies and Cream Ice Cream Scoop
Mint Chocolate Chip Ice Cream Scoop, Fruit Salad Ice Cream Scoop, Rainbow Sherbet Ice Cream Scoop, Bubblegum Ice Cream Scoop
Peach Ice Cream Scoop, Coffee Ice Cream Scoop, Choco Fudge Brownie Sundae, Fruit Medley Ice Cream Sundae
Chocolate Lava Ice Cream Sundae, Nutty Caramel Crunch Ice Cream Sundae, Berry Blast Ice Cream Sundae, Ibaco Special Ice Cream Sundae
Vanilla Ice Cream Scoop, Chocolate Ice Cream Scoop, Strawberry Ice Cream Scoop, Butterscotch Ice Cream Scoop
Mango Ice Cream Scoop, Pistachio Ice Cream Scoop, Caramel Ice Cream Scoop, Cookies and Cream Ice Cream Scoop
Mint Chocolate Chip Ice Cream Scoop, Fruit Salad Ice Cream Scoop, Rainbow Sherbet Ice Cream Scoop, Bubblegum Ice Cream Scoop
Peach Ice Cream Scoop, Coffee Ice Cream Scoop, Choco Fudge Brownie Sundae, Fruit Medley Ice Cream Sundae
Chocolate Lava Ice Cream Sundae, Nutty Caramel Crunch Ice Cream Sundae, Berry Blast Ice Cream Sundae, Ibaco Special Ice Cream Sundae
Classic Chicken Sandwich, Spicy Chicken Sandwich, Chicken Tenders (3 pcs), Chicken Tenders (5 pcs)
Cajun Fries (Regular), Buttermilk Biscuit, Louisiana Chicken Combo (2 pcs), Louisiana Chicken Combo (3 pcs)
Cajun Fish Sandwich, Cajun Fish Combo, Shrimp Combo, Chicken Waffle Tenders (3 pcs)
Chicken Waffle Tenders (5 pcs), Red Beans & Rice (Regular), Coleslaw (Regular), Mashed Potatoes with Cajun Gravy (Regular)
Cajun Rice (Regular), Apple Pie, Chocolate Beignets, Sweet Heat Sauce
Classic Chicken Sandwich, Spicy Chicken Sandwich, Chicken Tenders (3 pcs), Chicken Tenders (5 pcs)
Cajun Fries (Regular), Buttermilk Biscuit, Louisiana Chicken Combo (2 pcs), Louisiana Chicken Combo (3 pcs)
Cajun Fish Sandwich, Cajun Fish Combo, Shrimp Combo, Chicken Waffle Tenders (3 pcs)
Chicken Waffle Tenders (5 pcs), Red Beans & Rice (Regular), Coleslaw (Regular), Mashed Potatoes with Cajun Gravy (Regular)
Cajun Rice (Regular), Apple Pie, Chocolate Beignets, Sweet Heat Sauce
Classic Chicken Sandwich, Spicy Chicken Sandwich, Chicken Tenders (3 pcs), Chicken Tenders (5 pcs)
Cajun Fries (Regular), Buttermilk Biscuit, Louisiana Chicken Combo (2 pcs), Louisiana Chicken Combo (3 pcs)
Cajun Fish Sandwich, Cajun Fish Combo, Shrimp Combo, Chicken Waffle Tenders (3 pcs)
Chicken Waffle Tenders (5 pcs), Red Beans & Rice (Regular), Coleslaw (Regular), Mashed Potatoes with Cajun Gravy (Regular)
Cajun Rice (Regular), Apple Pie, Chocolate Beignets, Sweet Heat Sauce
Classic Chicken Sandwich, Spicy Chicken Sandwich, Chicken Tenders (3 pcs), Chicken Tenders (5 pcs)
Cajun Fries (Regular), Buttermilk Biscuit, Louisiana Chicken Combo (2 pcs), Louisiana Chicken Combo (3 pcs)
Cajun Fish Sandwich, Cajun Fish Combo, Shrimp Combo, Chicken Waffle Tenders (3 pcs)
Chicken Waffle Tenders (5 pcs), Red Beans & Rice (Regular), Coleslaw (Regular), Mashed Potatoes with Cajun Gravy (Regular)
Cajun Rice (Regular), Apple Pie, Chocolate Beignets, Sweet Heat Sauce
Classic Chicken Sandwich, Spicy Chicken Sandwich, Chicken Tenders (3 pcs), Chicken Tenders (5 pcs)
Cajun Fries (Regular), Buttermilk Biscuit, Louisiana Chicken Combo (2 pcs), Louisiana Chicken Combo (3 pcs)
Cajun Fish Sandwich, Cajun Fish Combo, Shrimp Combo, Chicken Waffle Tenders (3 pcs)
Chicken Waffle Tenders (5 pcs), Red Beans & Rice (Regular), Coleslaw (Regular), Mashed Potatoes with Cajun Gravy (Regular)
Cajun Rice (Regular), Apple Pie, Chocolate Beignets, Sweet Heat Sauce
Classic Chicken Sandwich, Spicy Chicken Sandwich, Chicken Tenders (3 pcs), Chicken Tenders (5 pcs)
Cajun Fries (Regular), Buttermilk Biscuit, Louisiana Chicken Combo (2 pcs), Louisiana Chicken Combo (3 pcs)
Cajun Fish Sandwich, Cajun Fish Combo, Shrimp Combo, Chicken Waffle Tenders (3 pcs)
